;143;146;148;149;150;153;157;158;159;160;161;164;165;167;168;173;174;177;179;180;181;183;184;185;190;191;194;195;197;198;202;204;206;208;212;213;215;216;217;223;224;225;229;230
143;0;0;0.002072;0.001513;0;0.002116;0;0.001884;0.002216;0;0;0.001974;0;0.001651;0.005657;0;0.001724;0;0.00235;0.002886;0.002412;0;0.002286;0;0;0;0;0;0;0.0019;0.001793;0.001894;0.002417;0;0.002493;0.001679;0.002049;0;0.001841;0.001693;0;0.002496;0;0.002534
146;0.002656;0;0.002021;0.001872;0.003684;0.001748;0;0.001377;0.001793;0.002744;0;0;0.001884;0.000978;0;0.001696;0.000883;0.002351;0;0;0.001764;0.000755;0.001433;0.007652;0.002237;0.002002;0;0;0.001596;0.001128;0;0.001657;0.001831;0.000657;0;0.001526;0.00148;0.003606;0;0;0;0.001707;0.002183;0.001947
148;0;0;0;0.002335;0.004511;0.00184;0.001741;0.001768;0;0.003388;0.001724;0.00181;0.002408;0.001715;0.005181;0;0;0.00211;0.002581;0.002834;0.001994;0.000913;0.001835;0.007046;0.002396;0.002814;0.002929;0.00148;0.002372;0.002409;0;0.002458;0.00221;0.000696;0.001824;0.001318;0.002156;0.004567;0.001775;0;0.003074;0;0.002671;0.001714
149;0;0.001122;0.002199;0;0.003586;0.002223;0.001443;0.001667;0.001563;0.00273;0.001796;0.001816;0.00177;0.001689;0.004608;0.001824;0.000924;0.002653;0;0.00238;0.001932;0.000734;0.001514;0.007364;0.002295;0.0022;0.001726;0.000486;0.001612;0.001451;0;0.001715;0.002261;0.000602;0;0.001943;0;0.003886;0.001605;0;0.002245;0;0.002868;0
150;0;0;0;0.002781;0;0.003307;0;0.0027;0;0;0;0;0.003321;0.00204;0;0;0;0;0.002886;0.005189;0.003696;0.001354;0.002916;0;0;0;0;0.001951;0;0.002225;0.002873;0.0033;0.002487;0;0;0.002827;0.003289;0;0;0;0;0;0.005119;0
153;0.002825;0.00163;0.001786;0.002395;0.004415;0;0.00187;0.001647;0.001733;0.002854;0.001726;0.002002;0.001934;0.001649;0;0.002118;0.001421;0;0.001888;0.003158;0;0.001486;0.002245;0;0.00197;0.002374;0.002429;0.001366;0.002077;0.002055;0;0.002264;0.00209;0.001316;0.001651;0.002078;0.002003;0.004501;0.001963;0.000801;0;0.001687;0.002953;0.002606
157;0;0.001427;0;0.001836;0;0.001605;0;0;0.001311;0.002594;0;0.001182;0;0.000877;0;0;0;0;0.001603;0.002537;0;0.000903;0.001813;0;0;0;0.002419;0;0.001807;0.001504;0;0;0.00152;0;0;0.001219;0.001302;0;0.001174;0.001456;0.002502;0.001718;0.002803;0.001955
158;0.002845;0.001559;0.002224;0.001792;0;0.001691;0.001122;0;0.001515;0.002974;0;0.001826;0.001913;0.00139;0.005069;0;0.001503;0.002084;0.00209;0.003176;0.002132;0.001078;0;0.007395;0.001476;0.002425;0.002796;0.000754;0.002128;0.002245;0.001611;0.001468;0.00215;0.000884;0.00178;0.001579;0.001744;0.004364;0.001813;0.001088;0;0.00192;0.002508;0.001303
159;0.003286;0.001521;0;0.002297;0;0.002038;0;0.001743;0;0.003654;0.002269;0.001897;0;0.00154;0.004405;0.001495;0;0.002734;0;0.002807;0.002312;0.001044;0.001975;0.008451;0.002671;0;0.002044;0.000869;0.002699;0.001646;0;0.002325;0.001893;0;0.001615;0.001779;0.001925;0.003955;0;0.00172;0.002944;0.001868;0.002544;0
160;0;0;0.002121;0.002037;0;0.002602;0;0.002019;0.002463;0;0;0.001919;0.002456;0.002052;0;0;0;0;0.002536;0.002523;0.002095;0.001569;0.002474;0;0.002766;0.003581;0.003391;0;0;0.002412;0.002466;0.002472;0.00219;0;0;0.001918;0.00217;0;0.002193;0.001693;0;0;0.003807;0.00294
161;0;0.001406;0;0.002042;0;0.001919;0;0.001723;0.002019;0.002759;0;0;0;0.00177;0;0.002126;0;0;0.002091;0.0025;0;0;0.002113;0;0;0;0.003088;0;0.002483;0.001687;0;0.002005;0.001582;0.001048;0.001876;0.001864;0.002083;0.004189;0.00145;0.001415;0.00328;0;0.002587;0.002515
164;0;0.00136;0.001476;0.001793;0;0.002357;0.001535;0.001186;0.001775;0.003104;0.00219;0;0.001648;0.001064;0;0.001245;0.001082;0;0.002082;0.00244;0.001953;0.001166;0;0.008717;0;0;0.001872;0.001389;0.002101;0;0.001857;0.001512;0.001405;0.000541;0.00181;0.001505;0.001804;0.004345;0.001917;0;0.003138;0;0.002847;0.00176
