;1;4;5;6;8;11;12;17;18;19;20;23;27;31;34;35;36;37;39;42;47;53;54;58;61;66;69;73;74;75;79;80;81;87;89;90;101;103;112;114;115;118;120;121;122;125;126;127;129;130;133;139;141;142
1;0;0;0;0;0;0.010964;0;0;0;0;0;0;0;0.003519;0.007973;0.004969;0.004056;0;0;0;0;0;0;0;0;0;0;0;0;0.012204;0;0.005256;0;0;0;0;0;0;0.00675;0;0;0;0;0;0.002687;0;0.007778;0;0;0.008153;0.013276;0.010535;0;0.004529
4;0;0;0;0;0.009043;0;0;0;0.006881;0;0;0;0;0.006578;0;0.008388;0;0;0;0;0;0;0;0;0;0;0;0.00632;0;0.021649;0;0.008619;0;0;0;0;0;0.008543;0.013221;0.009447;0.006948;0;0;0.006732;0.005462;0;0;0;0.019246;0.013731;0.023112;0.019513;0.007533;0.009162
5;0.012419;0.025548;0;0.038027;0.009213;0.014548;0;0.015552;0.005278;0.009982;0;0;0.012397;0;0;0.00643;0.00538;0.01814;0.009991;0.009192;0.007729;0.006781;0;0.00695;0;0.009882;0.00825;0.005502;0.017703;0;0;0.007524;0.008877;0.010416;0;0.019213;0;0.005954;0.012664;0;0.005168;0.006944;0.00522;0;0.004953;0.036845;0.012815;0.009694;0;0.011349;0.020142;0.015275;0.005506;0.007731
6;0;0;0.034651;0;0.015589;0.023538;0;0.024103;0;0.015689;0;0.015803;0.023248;0.009123;0;0.012578;0;0;0;0;0.012152;0;0;0;0;0;0.012809;0.011243;0;0;0;0.013083;0;0;0;0;0.014878;0;0.020338;0;0;0;0;0.008518;0.009165;0;0.023747;0;0.030933;0.020977;0.03631;0.02974;0.011322;0.01094
8;0.007369;0.012449;0.011707;0;0;0.006427;0;0;0;0.006143;0.008219;0;0;0;0;0;0.002464;0.009871;0;0;0.004564;0.004817;0;0.003892;0.01225;0;0.005038;0.003062;0.00802;0.008273;0;0;0.005781;0;0.005732;0;0;0;0.006664;0.005215;0;0;0.003968;0.002824;0.002958;0;0;0.006339;0;0.006821;0.011812;0.009509;0.003479;0.004366
11;0.009109;0;0.017404;0.03054;0.006619;0;0.005108;0;0.005268;0.007453;0.015536;0.008096;0.011102;0;0.008579;0.005581;0;0;0;0.006505;0.005073;0.005916;0;0.005125;0;0;0.00806;0.00498;0.014142;0;0.008443;0.006578;0;0.008399;0;0.016619;0.006589;0.004501;0;0.005858;0;0;0.004645;0;0.004169;0.027754;0;0;0.013468;0;0.016365;0.011942;0;0.006016
12;0;0.012028;0.010547;0;0;0.005792;0;0.008818;0;0.004982;0.009109;0;0.007193;0.003688;0;0.004538;0.002615;0;0;0;0.004434;0;0;0;0;0;0.004707;0.003613;0;0.008894;0.00651;0;0;0;0.006252;0;0;0.003786;0.004278;0;0;0;0;0.002637;0.003249;0;0.006631;0;0;0.006609;0.011377;0.009222;0.003103;0.004667
17;0;0;0;0;0;0.011793;0;0;0.005987;0.007826;0;0;0;0.005421;0;0.005792;0.004673;0;0.00985;0;0.007537;0.006405;0.005883;0.006336;0;0.009176;0.008692;0.004433;0;0.014542;0;0.006002;0.00802;0.009951;0.011137;0;0;0.005781;0;0;0;0.006686;0.005407;0;0;0;0.011529;0.009426;0.01429;0.00924;0;0.014548;0.00627;0.006164
18;0;0.012373;0;0;0;0.005904;0;0;0;0;0.008772;0.004482;0;0.002362;0;0;0.001995;0;0;0;0.003753;0;0.003916;0;0;0;0.004365;0.003153;0;0;0.004982;0;0.00477;0;0.005138;0.009451;0;0;0.004963;0.003308;0.002728;0;0;0;0;0;0.005582;0;0;0;0.008124;0.007313;0.002893;0.003533
19;0.007912;0;0.012099;0.024196;0.006198;0;0.00496;0.010387;0;0;0;0.005381;0.007151;0.003584;0.007021;0.00444;0.003368;0;0.006209;0;0.005002;0.004375;0.003831;0.004374;0.015719;0.005434;0.006095;0.003706;0.010903;0;0;0;0.005283;0.006359;0;0.012117;0.005245;0.004549;0.006967;0.004753;0.003334;0.004181;0;0.00248;0.002402;0.019283;0.008253;0.00561;0.010143;0;0.012189;0.009748;0.003462;0
20;0;0;0.018316;0;0.006306;0;0.006968;0;0;0.008007;0;0.007669;0.012827;0.004998;0;0.006474;0.005846;0;0;0;0.006242;0;0.006748;0.005634;0;0.00956;0;0.004825;0;0.014884;0;0.007343;0.008628;0;0;0;0;0;0.008385;0;0.005079;0;0.005553;0;0.004409;0;0.011379;0;0;0;0;0.014443;0;0.007088
