;9;14;29;32;33;38;44;46;49;59;67;68;78;82;84;93;99;100;102;104;105;106;108;109;110;111
9;0;0.004057;0;0.003892;0;0;0.01649;0;0.008075;0.007854;0.015221;0;0;0;0.01537;0;0.00687;0;0;0;0;0;0;0;0.010962;0
14;0.00612;0;0.037034;0;0;0.001645;0.006101;0.002529;0.003247;0.002973;0.006328;0.001633;0.003234;0.007645;0.006589;0.003196;0.002454;0.004737;0;0.004837;0.004317;0.002798;0.007616;0.006547;0.004608;0.008738
29;0;0;0;0;0;0;0;0;0.030464;0;0;0;0;0;0;0;0.020902;0;0;0.046056;0;0;0;0;0;0
32;0;0;0;0;0.004679;0.0018;0;0.003147;0.003407;0.00375;0.006742;0;0.002885;0.00772;0;0.002632;0.002397;0.005533;0;0.005408;0.004123;0;0.007427;0;0.004616;0
33;0;0.00337;0.078976;0.003076;0;0;0;0.007647;0.007846;0.00809;0;0.004599;0.00672;0;0;0;0;0.011526;0;0.009957;0;0.006302;0.016731;0.015481;0.008791;0.018681
38;0;0.001909;0;0.001485;0;0;0.007563;0;0;0;0;0;0;0;0;0;0.00347;0;0;0;0;0;0.008326;0.008355;0;0
44;0;0.003284;0;0.004645;0;0.005531;0;0.008061;0.009185;0.00947;0;0.005749;0.009212;0;0;0;0;0;0.016766;0.013105;0.012998;0.006652;0;0.019239;0;0
46;0;0.00228;0;0.002705;0.006367;0;0.010215;0;0;0;0.010946;0.003517;0;0;0;0;0;0;0.010433;0;0.006291;0.00463;0.011165;0;0;0
49;0.009517;0.002416;0;0.001982;0.006896;0.003907;0.012333;0;0;0;0;0;0;0;0;0.005966;0.003804;0.008243;0.010125;0.007836;0.006611;0;0.012661;0.009702;0.006983;0
59;0;0.00269;0;0.002326;0;0.003864;0;0;0.005253;0;0.009775;0.002913;0.004951;0.010958;0.009717;0;0.004223;0.008074;0.007934;0.00745;0;0.00452;0.009255;0;0.00697;0
67;0.015935;0.004047;0.101754;0.004772;0;0.005066;0;0.008417;0.009332;0.008303;0;0.005727;0.008587;0;0;0.0091;0;0.013833;0.017165;0;0;0.00708;0.021218;0.017463;0.011823;0
68;0;0.001831;0;0.001905;0;0;0.008194;0;0;0;0;0;0;0.007693;0.006572;0;0.003605;0;0;0;0.005182;0;0.008051;0;0.005387;0.009284
78;0;0.00247;0;0.002251;0;0;0;0.005113;0.005722;0.00564;0.011211;0;0;0;0;0.005369;0.003825;0;0;0.007747;0;0;0.012039;0;0;0
82;0.015318;0.004407;0;0.004344;0;0;0;0.009353;0;0;0;0.0065;0.0091;0;0.016595;0;0;0.013313;0.013145;0;0;0.0073;0;0;0;0
84;0;0.004516;0;0.00436;0;0.00646;0;0;0.008656;0.008891;0;0.005388;0.009518;0;0;0;0;0.013174;0;0.010807;0;0;0;0.017226;0.011826;0
93;0;0.001863;0;0.002484;0;0;0;0;0;0;0.00899;0.003202;0.005308;0;0.009954;0;0;0.006759;0;0;0.007487;0.004426;0.010994;0.01109;0.006728;0
99;0.008074;0.001995;0.046051;0.001804;0;0.003084;0;0.003538;0.004287;0.004564;0;0;0.003885;0.009866;0;0.004609;0;0.005762;0.007901;0.006329;0.006019;0.003235;0.009078;0.008741;0.006116;0.01011
100;0;0;0;0.002909;0.01014;0;0.012434;0.007101;0.006653;0.007508;0.014028;0;0;0.015996;0.012177;0.007203;0.005294;0;0;0.010511;0;0;0.014599;0;0.009577;0
102;0;0.004219;0;0.004089;0;0;0.016916;0;0.009128;0;0.01597;0;0;0;0;0.007946;0;0;0;0.012275;0;0;0;0;0;0.019632
104;0.012606;0.002879;0;0.003057;0;0;0.013969;0;0;0;0.01417;0;0.00646;0;0;0;0.005399;0;0.011932;0;0.008114;0.00586;0.013268;0.013878;0.00873;0.017175
105;0;0.002613;0.083241;0.003163;0;0.003753;0;0.006244;0.004868;0.007303;0;0.004658;0;0;0;0;0;0.009733;0;0.008898;0;0;0;0.014784;0;0
106;0;0.001245;0;0.001839;0.006807;0;0.010733;0.004666;0.003995;0.00495;0.00943;0;0;0;0;0;0.003445;0.007691;0;0.007423;0.006336;0;0.011263;0;0.006132;0
108;0;0.004351;0;0;0;0.006338;0;0.009071;0;0.009239;0;0;0;0;0;0.010183;0.007634;0.014029;0;0.013078;0;0;0;0;0;0
109;0;0.004332;0;0;0.015198;0;0.021755;0.008531;0.008749;0.009255;0;0;0;0;0;0.009803;0.00712;0;0;0.013995;0;0;0.020973;0;0.011654;0
110;0.010944;0.00217;0.082009;0;0.008734;0.004099;0.014759;0.006156;0.005445;0.007038;0.013309;0.004098;0;0.01638;0.012479;0;0.005878;0.010511;0;0;0;0;0;0.01452;0;0
111;0.01648;0.005253;0;0.005482;0.015434;0;0;0;0.00999;0;0;0;0;0;0;0;0.006951;0.016062;0;0;0;0.009112;0;0;0;0
