;0;2;3;7;10;13;15;21;22;24;26;28;40;41;43;45;48;51;52;55;56;57;60;62;63;72;77;83;86;88;95;96;97;98;107
0;0;0.003148;0;0.005282;0;0;0;0;0.001677;0.003694;0.006612;0;0;0.002103;0.00241;0.003255;0.003367;0.003724;0.003709;0;0.002421;0;0.005774;0.004071;0.004199;0.003597;0;0;0.00407;0.004325;0.003524;0.003651;0;0.002914;0.003048
2;0.002737;0;0;0;0.003088;0;0.003351;0.003191;0.00199;0.003096;0;0.007294;0.005135;0;0;0;0;0.002666;0.003782;0;0;0.005041;0;0.002538;0.003878;0;0.00394;0.007238;0.003119;0.003375;0;0.002611;0;0;0.002615
3;0;0;0;0.006647;0;0.003269;0;0;0.002166;0;0.007351;0;0;0.002802;0;0;0;0;0;0;0.003096;0.005952;0;0.004902;0.005645;0.004988;0;0;0;0.004046;0;0;0.003478;0;0.002611
7;0.004569;0;0.007083;0;0.006163;0.003269;0.003786;0;0.002119;0;0;0.010269;0;0.00272;0.003506;0.003682;0;0.004308;0;0.006483;0.004019;0;0;0.00479;0;0.005276;0.005343;0;0;0;0;0;0;0.003891;0.003815
10;0;0.003499;0.006168;0.005747;0;0.002524;0.003638;0;0.001672;0;0.008653;0.009877;0.006506;0.003035;0.00267;0.003891;0;0.004107;0;0.006045;0.002869;0.006039;0.00635;0.004681;0;0.004368;0;0.009622;0;0;0.003964;0.00337;0;0.003644;0.003247
13;0.003365;0.002608;0.003741;0.003643;0.00292;0;0.00196;0.002523;0.001043;0.003632;0.006744;0.007442;0.003926;0.001902;0.002046;0;0.002436;0;0;0.002888;0.001864;0.004395;0.003623;0;0.003245;0.002771;0.002887;0.005003;0;0.002926;0.00228;0.002415;0.002665;0;0.002038
15;0;0.00293;0.005094;0.003915;0;0.002631;0;0;0.002119;0.003407;0.00746;0;0.005459;0.00187;0;0;0.003066;0;0;0.00523;0.00283;0.005368;0;0.003871;0;0;0.004501;0.007678;0;0;0.002588;0.002829;0.002297;0;0
21;0.004051;0.002753;0;0;0;0;0;0;0;0;0.008179;0;0;0;0;0.003243;0.00312;0.003759;0;0.00463;0.002968;0;0;0.003897;0;0.004175;0;0;0;0;0;0.003114;0;0;0
22;0.002936;0;0.003518;0;0.002794;0.001419;0.001881;0.00171;0;0.0026;0;0.005374;0.004011;0.001772;0.001344;0.002134;0.002035;0;0.002605;0;0;0.002936;0;0.003003;0.002926;0;0.00303;0.00502;0.002314;0.002505;0.002502;0.001786;0.001784;0.002028;0
