;16;25;30;50;65;71;91;92;116;124;131;132;136;137
16;0;0;0;0.005185;0;0;0;0.002407;0;0;0;0;0;0.004012
25;0.002871;0;0.001442;0.003533;0.002015;0;0.001792;0;0.001805;0.010946;0;0.002252;0.002411;0.003225
30;0;0.001096;0;0.00289;0;0;0;0;0.002393;0;0.004147;0;0;0
50;0.004932;0.002435;0.002216;0;0.003241;0.002468;0.002324;0.003031;0.003764;0.019766;0.008821;0.004531;0.004407;0.004372
65;0;0;0;0.003989;0;0;0;0.001953;0.001926;0.014342;0.006232;0;0.002973;0.004503
71;0;0;0.001736;0.003811;0;0;0;0.001868;0;0.013;0.005577;0;0.002624;0.003243
91;0.003471;0;0.002017;0.004357;0;0.002159;0;0.002115;0;0.014105;0.006041;0;0;0.003916
92;0;0.00142;0;0.003871;0.002048;0.001556;0.002094;0;0.002205;0.013136;0.005871;0;0.002243;0.003579
116;0;0;0;0.004308;0.002444;0.001943;0;0;0;0.01416;0;0;0.003111;0.004814
124;0;0;0;0.012855;0;0;0.007893;0;0;0;0.016666;0;0;0.014015
131;0;0;0;0.006967;0;0;0;0;0;0.019612;0;0;0;0.005496
132;0;0;0;0.005028;0;0;0;0;0;0;0;0;0;0
136;0.004249;0;0;0.004292;0;0;0;0;0;0;0;0;0;0
137;0.003854;0.002016;0.002252;0.005582;0.003027;0.002449;0.002395;0.002755;0.002988;0;0.007168;0.004323;0.004514;0
