;118;120;121;122;123;124;125;128;129;131;132;133;134;135;136;137;138;139;140;141;142;143;145;146;147;151;152;153;154;155;156;157;158;161;163;164
118;0;0;0;0;0;0.002846;0;0;0.004014;0;0.004274;0;0;0.00304;0.00406;0.005646;0.004127;0;0.003331;0;0;0;0.005693;0.002555;0.005104;0.001366;0;0.002966;0.002251;0;0.003053;0;0;0.002251;0.001509;0
120;0.004386;0;0.01604;0;0.001781;0.002387;0.003844;0.00429;0.00391;0.00375;0.005827;0.002045;0;0;0;0.004825;0.003912;0.003651;0;0.002797;0.002971;0.00305;0.004886;0.002128;0;0.001716;0.006037;0.002638;0.001633;0.002662;0;0;0.003921;0.002594;0.001851;0.003193
121;0;0.009418;0;0;0.005746;0.006832;0;0;0;0;0;0.005645;0;0;0;0;0.008529;0;0;0;0;0;0;0.00794;0;0.004595;0;0.007618;0;0;0.006714;0.004226;0;0.006333;0;0
122;0;0;0.008287;0;0;0.001659;0;0;0;0.00281;0.00283;0.001531;0;0;0.002212;0;0.001974;0;0;0;0.002619;0.002234;0.003599;0.001338;0.00279;0.001168;0.003505;0.001319;0;0;0.002137;0;0;0.001052;0.001289;0
123;0.002873;0.002782;0;0;0;0;0;0.002848;0;0.002704;0.003697;0.001847;0.001986;0;0.003042;0;0.002687;0.003121;0.001828;0;0.002116;0.002352;0;0.002382;0.003345;0;0.003985;0.002001;0.001586;0.00143;0.001963;0;0.002138;0;0.00125;0.002528
124;0;0.002667;0;0.001236;0.001761;0;0;0;0.002841;0;0;0;0.002545;0;0.002449;0.004122;0.00227;0;0;0;0.001994;0.00199;0.004371;0;0.003397;0;0;0.00209;0.001591;0;0.001875;0.001182;0;0.00206;0.001244;0.001978
125;0;0;0.014346;0;0;0.002708;0;0;0.003888;0;0;0;0;0;0.003953;0;0.00286;0.005451;0.002932;0;0.003066;0;0.004338;0;0.004683;0.001805;0.005825;0;0.002377;0;0.003321;0.001792;0;0.002423;0.000962;0
128;0;0.003735;0;0;0;0.00286;0;0;0;0;0;0.001754;0;0;0;0;0.003415;0;0;0;0;0;0.005363;0.002797;0;0.00152;0;0.002462;0.001548;0;0.002936;0.001444;0;0.002522;0.001166;0
129;0.003651;0.004321;0;0.001731;0.002543;0.002463;0;0;0;0;0.005228;0.001814;0.003515;0.003541;0.003698;0;0.00295;0.004924;0.003164;0.003439;0.002981;0.003262;0;0.002241;0.004933;0.001732;0;0.003389;0;0;0.003136;0;0.003758;0;0.001702;0
131;0;0.00382;0;0;0;0.002525;0;0;0;0;0.0046;0.001656;0;0.003666;0.004306;0;0.003454;0.005382;0.002915;0;0;0;0.005949;0.002324;0;0.001943;0;0;0.002051;0;0;0.001778;0;0.002079;0.001614;0
132;0;0.004377;0;0.00211;0.002793;0;0;0;0.00427;0;0;0.002523;0;0;0.004279;0;0.004353;0;0.002614;0;0.002824;0;0.005865;0;0;0.001728;0;0;0.002033;0;0.0033;0.002045;0;0.002862;0.002113;0.00317
133;0.003091;0;0.009315;0;0.001664;0.001916;0.002889;0;0.002253;0;0.003994;0;0.001927;0;0.002347;0.003627;0.002927;0.003197;0.00209;0;0.002134;0.00158;0.003809;0.001998;0;0.0012;0.003272;0.002085;0;0.001706;0.001075;0.001182;0.00215;0.001679;0;0
134;0;0.003455;0;0;0.002169;0;0;0;0;0;0.004127;0.00227;0;0.003024;0.003797;0;0.003607;0;0.002465;0;0;0;0.004407;0.002618;0;0.001182;0;0.002223;0.001467;0;0.002922;0.001378;0;0.002052;0.001142;0
135;0.003414;0.003967;0;0.001866;0;0;0;0;0.003941;0;0;0.001892;0;0;0.003507;0.00451;0;0.003843;0;0.002606;0.002853;0.002795;0.005744;0;0;0.001717;0;0;0.001796;0.002274;0;0.001564;0;0;0;0.002272
136;0.00421;0;0;0.002307;0.002022;0.002162;0.004288;0.003946;0.003734;0;0;0.002183;0.003075;0.00299;0;0.005239;0.003541;0.005147;0;0;0.002903;0;0.006316;0.002757;0.004379;0.001554;0;0.002738;0.002221;0.002969;0.003385;0.001364;0.003089;0.002219;0.001311;0
137;0;0.004937;0;0;0.003244;0.00334;0;0;0.004438;0;0.006434;0.002062;0;0.003654;0.005544;0;0.003787;0.006181;0;0;0.003845;0;0.007231;0.003852;0.00573;0.002222;0.006551;0.003992;0;0.003532;0.004001;0.001999;0;0.003035;0;0.004467
138;0;0.004134;0.015295;0;0.002081;0;0;0.004414;0.003722;0;0.00535;0.002311;0.00327;0.002124;0.004295;0.005556;0;0.004644;0;0;0.002112;0.002811;0.006388;0.002434;0.004762;0.002105;0.004839;0.003277;0.002368;0.002922;0.002714;0.001493;0.003494;0;0.001655;0.003122
