;6;13;14;29;34;36;37;48;60;65;72;75
6;0;0;0.003937;0.005704;0;0.003483;0;0.001987;0;0.003183;0.001811;0
13;0;0;0.004705;0;0.003293;0;0.004462;0.002539;0.002784;0.00331;0;0.004017
14;0.003737;0;0;0;0.003463;0.003914;0.005287;0.0036;0.0029;0.002953;0;0
29;0.00403;0.005322;0.006957;0;0;0;0.006945;0.003576;0.005928;0.005507;0;0
34;0.002817;0.002874;0.004198;0.00581;0;0;0;0;0;0;0;0.004059
36;0.002938;0;0.004205;0;0.004028;0;0.005212;0;0;0;0;0
37;0.003654;0.004015;0.006138;0.007549;0;0;0;0.003586;0;0;0;0
48;0;0.002396;0.003163;0;0;0.003823;0;0;0;0.003431;0;0.003501
60;0;0.003373;0.003258;0;0;0;0;0;0;0;0;0
65;0;0.003247;0;0;0;0;0;0;0;0;0;0.004533
72;0.001858;0;0;0;0;0;0;0;0;0;0;0
75;0.00319;0;0.004781;0.00768;0;0;0.004504;0.003099;0;0;0;0
