;116;117;119;126;127;130;144;148;150;159;160;162
116;0;0.00314;0.003235;0;0;0;0;0;0.004108;0.002351;0;0
117;0.004825;0;0.002141;0.000962;0.001027;0;0.000994;0;0.002112;0.001318;0.001652;0.002176
119;0.004765;0.002051;0;0.000826;0.001423;0.00228;0.001198;0;0.002718;0.001255;0;0
126;0;0;0.001575;0;0.00109;0;0;0.001629;0;0;0.0012;0.001258
127;0;0.00164;0.001966;0;0;0;0;0;0.001288;0.001355;0;0.001761
130;0;0;0.001782;0.000608;0;0;0;0.002985;0.002189;0;0;0
144;0.003898;0.001088;0.001258;0;0;0;0;0;0.001196;0.001367;0.00142;0
148;0;0;0;0;0;0;0;0;0.0028;0.001829;0;0
150;0.005032;0.002203;0.001703;0.000812;0.002066;0.002385;0.001793;0;0;0;0.001827;0.002644
159;0;0.001297;0.00248;0.001026;0.001063;0.001683;0;0.002607;0.00221;0;0.001534;0.002119
160;0;0.001252;0;0;0;0;0;0.002718;0.001712;0.001433;0;0.002395
162;0;0;0;0.001016;0;0;0;0;0.002378;0.001788;0;0
