;85;92;94;99;112;115
85;0;0.004165;0.005337;0.021445;0;0
92;0;0;0;0;0.008586;0.004774
94;0;0;0;0;0;0
99;0.010072;0;0;0;0;0.014447
112;0;0.006421;0;0;0;0.010546
115;0;0.004404;0;0;0;0
