;0;2;5;7;9;12;17;18;21;24;27;32;33;38;41;45;47;49;52;53;58;67;69;70;77;82;84;86;87;96;97;98;100;101;103;105;107;111;113
0;0;0.015666;0.004927;0;0.003461;0.003357;0.004541;0;0.005309;0;0;0;0;0;0.00732;0.005299;0.003728;0.002777;0.005531;0.009691;0;0;0.006138;0;0;0.005063;0.002815;0;0.004805;0;0.007368;0;0;0;0;0.004417;0.005225;0.004336;0.005476
2;0.014631;0;0;0.007695;0;0.011847;0;0.014894;0;0.009731;0;0;0;0;0;0;0.00998;0;0;0;0;0.007389;0;0.016714;0;0.020519;0.008885;0.040943;0;0;0.022328;0.012118;0;0;0;0.012298;0;0.011423;0
5;0.00334;0;0;0.002345;0;0.006088;0;0.006363;0;0.003806;0.00601;0.007049;0.010016;0.005067;0.006612;0.006096;0.003753;0;0;0;0.004024;0.00369;0.006066;0.004621;0.004932;0.008209;0.003054;0.012134;0.004389;0;0;0.004664;0.007345;0.007229;0.016869;0;0;0.004493;0.005462
7;0;0.015738;0.004971;0;0.001644;0.003384;0.004848;0;0.003367;0;0;0.005569;0;0.003509;0.006462;0.002871;0;0.003376;0.003872;0.00887;0.002467;0;0.00576;0;0.002456;0.005475;0.002274;0.01183;0.003433;0.00896;0.004774;0.002367;0.004072;0.0047;0;0.002167;0.003618;0.003853;0.003697
9;0.004648;0.017004;0.005009;0;0;0;0;0;0;0;0;0.005482;0.026423;0.003653;0;0;0.00243;0.004921;0.00495;0;0;0.00226;0;0.005318;0;0.005277;0.002207;0.011099;0.003723;0;0.005847;0;0.005188;0;0.011864;0;0.00467;0.003688;0
12;0.006953;0.020769;0;0.002683;0.003364;0;0.005661;0.005234;0.006092;0.003546;0;0;0.033904;0.003903;0.008597;0;0;0.005949;0.006693;0.012558;0;0.002808;0;0.004606;0.00281;0;0;0.015351;0.004498;0;0.00738;0.003067;0.006978;0;0;0.004426;0;0;0.004267
17;0.006694;0;0.007986;0.003653;0;0.004979;0;0;0.007355;0.00618;0.008536;0.008258;0.036072;0;0;0;0.004323;0;0;0.014515;0;0.003686;0;0.008391;0;0.008976;0;0.018194;0;0;0.009153;0;0.00747;0;0;0;0;0.004886;0
18;0;0;0.005872;0;0.003664;0.004465;0;0;0.005826;0.005196;0.008427;0.008;0;0.004999;0.008316;0.005533;0;0.005009;0;0.01269;0;0;0.007041;0;0.003234;0.00951;0.002915;0.016789;0.00479;0.012655;0.0081;0.003914;0;0.008497;0.016785;0;0.007486;0.004047;0.005096
21;0.005813;0;0;0.00391;0.004481;0.004626;0.007895;0.004999;0;0.005586;0.008397;0.006746;0.023887;0;0;0;0.004277;0;0;0.011552;0;0;0.007084;0.006385;0;0.009836;0.002806;0.017205;0.005215;0;0.009081;0.004454;0;0.008134;0;0.005202;0;0.004154;0
