;6;13;14;29;34;36;37;48;60;65;72;75
6;0;0.003251;0.004052;0.004427;0.001893;0;0;0.002213;0.002197;0.002319;0;0
13;0;0;0.005235;0.005063;0.002376;0;0.004713;0.003857;0.002919;0.001849;0.001843;0.003067
14;0.00369;0.00382;0;0;0.003364;0.005121;0.005082;0.003776;0.002372;0.003436;0.002291;0.005768
29;0.004259;0.004822;0.006328;0;0;0.004575;0.005522;0.00525;0;0.004744;0;0.006753
34;0.001274;0.002855;0.00402;0;0;0;0.004761;0;0;0;0;0
36;0.001999;0;0.003747;0;0;0;0.004823;0;0;0;0;0
37;0.002383;0.004503;0.004458;0.005934;0;0.004417;0;0.003915;0.00351;0;0;0.004819
48;0.00206;0.003143;0.004135;0.006328;0.002901;0.003524;0;0;0;0;0;0.003842
60;0;0.002337;0.002432;0;0;0;0.003801;0;0;0;0;0
65;0.002047;0.003326;0.003615;0.005775;0;0;0;0.003473;0;0;0;0.003403
72;0;0.001827;0.002563;0;0;0;0.003004;0;0;0;0;0
75;0;0.004229;0.004864;0;0;0;0.00552;0.002713;0;0.003163;0;0
