;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164
10;0.00582;0.004236;0.018119;0;0.011068;0.006899;0.002606;0;0.00345;0.002798;0;0;0.00349;0.002818;0;0.031202;0;0.006843;0.004351;0;0;0.004945;0.003514;0.002917;0;0.002967;0.002157;0.00815;0;0;0.003709;0;0.007141;0.031023;0.002217;0.00199;0.003986;0.005172;0.003731;0.003073;0;0.00569;0.005056;0.002135;0.002924;0.005013;0.002742;0;0.001852;0.005467;0.006917;0;0.005018;0.010582;0.005224;0.005152;0.005153;0;0.002348;0.010828;0.003283;0;0.002497;0.002652;0;0.002416;0;0.002751;0;0.005693;0.007378;0.006188;0.002383;0.004088;0;0.002806;0.005437;0.002529;0.011036;0.013855;0;0.009022;0.009469;0.001641;0;0.003181;0;0.002326;0;0.007274;0.01089;0.002344;0.00408;0.002607;0.004315;0;0.008561;0.004406;0.002648;0.019108;0;0.006461;0.011317;0.011598;0;0;0.004082;0.005208;0.001277;0;0.004441;0.004375;0;0.00383;0.000954;0.003969;0;0;0;0.002216;0;0.011659;0;0;0.002125;0.002995;0.000604;0.00153;0;0.003647;0.002406;0;0;0.002127;0;0.002619;0.002634;0;0.002745;0.003634;0.001952;0;0.002772;0.002161;0.001454;0.004996;0.002296;0.003823;0.00254;0.00227;0.002735;0;0;0.002599;0.00133;0.001815;0.002119;0;0.002822;0.001936;0.001941;0.001693;0.002226;0.001209;0
11;0.006946;0.004367;0.019083;0;0.011377;0.007814;0.002986;0;0.003526;0.003189;0.002508;0;0.004201;0.003242;0.004904;0.03738;0.001796;0.006509;0.005477;0.004296;0.00748;0.00592;0.002525;0.002981;0;0.003053;0.002592;0.007246;0.001251;0.006528;0.003721;0.004162;0;0;0.00279;0;0.004053;0.005066;0.003172;0.002892;0;0.007223;0.007189;0.002875;0.002946;0.005023;0.002352;0.00262;0;0.005344;0.007964;0.001535;0.0058;0.010655;0.006025;0.006968;0.005109;0.006732;0.003752;0;0.003708;0.004707;0.002253;0;0.008101;0;0.003941;0;0.006838;0.006496;0.006432;0;0;0.004582;0;0.004623;0.005657;0;0.012975;0.015965;0.017676;0.009304;0.010123;0.001403;0;0;0;0.00357;0.002101;0.008285;0.012094;0;0;0;0.005103;0.014057;0;0.006682;0.002901;0;0.006629;0.006938;0;0;0.003662;0.003817;0.004249;0.004933;0.001362;0.00239;0.005263;0.004768;0.014504;0.003306;0.000977;0.003567;0.005777;0.001807;0.003814;0;0;0.013013;0.001554;0.002351;0.002581;0.003863;0;0;0.003107;0.003606;0.001886;0.003143;0.005287;0.001779;0.003157;0.002145;0;0;0.003522;0.00426;0.00234;0.002317;0.002612;0.002549;0;0.006603;0.002382;0.004189;0.003327;0.002436;0.00278;0.001826;0.005087;0.002822;0.001461;0.002332;0.002231;0.001673;0.003053;0.00147;0.002409;0.00243;0.002192;0.001118;0.001912
12;0.006953;0;0.020769;0.005624;0;0;0.002582;0.002683;0.004036;0.003364;0.00293;0.002867;0;0.003832;0;0;0;0.005661;0.005234;0.00293;0;0.006092;0;0.003517;0.003546;0.003493;0.002402;0;0;0.006202;0;0.004333;0;0.033904;0.003522;0.002824;0.004224;0;0.003903;0.002893;0;0.008597;0.006946;0.002923;0.003595;0;0.003344;0;0.003066;0.005949;0.006501;0.002178;0.006693;0.012558;0.005986;0.004327;0.004367;0.005857;0;0.011649;0.003188;0;0.002873;0.003402;0;0.003318;0;0.002808;0.007344;0;0.004606;0.005664;0.002199;0.00536;0;0;0.007018;0.00281;0.01424;0.01703;0;0.007407;0;0;0;0;0.015351;0.004498;0.001913;0;0.008732;0.003286;0;0.003266;0.005177;0;0;0.00738;0.003067;0;0.006978;0;0.014897;0;0;0.004426;0;0;0;0;0.004613;0;0;0.004267;0;0.00428;0;0;0;0;0;0;0;0;0.002624;0.003833;0;0;0;0.003522;0.00306;0;0;0.002205;0;0;0.004217;0;0;0;0;0;0.003612;0;0.001667;0.005402;0;0;0;0;0.003023;0.001452;0;0.003404;0.001826;0.002607;0.003352;0;0.003896;0.002206;0.002858;0.001954;0.003152;0;0.002816
13;0.004525;0.003419;0.015653;0;0;0;0;0.002267;0.002292;0.002789;0.002356;0;0;0;0.004705;0.032027;0;0;0.004531;0.003931;0;0.00524;0;0;0.002748;0.003013;0;0.0056;0.001478;0;0.00403;0.003518;0.004677;0;0.003293;0.002213;0;0.004462;0.002922;0.003315;0;0.005209;0.006863;0;0.003151;0.004051;0.00258;0.002615;0.002539;0;0.006825;0.00172;0.003999;0.009413;0.003833;0;0;0;0.002004;0.00889;0.002784;0.00458;0.001864;0.002391;0.005533;0.00331;0;0.001912;0;0.004598;0.004154;0.005976;0;0;0;0.004017;0.006266;0.002862;0;0;0;0;0.005977;0.001681;0.00257;0.002324;0.010509;0.003875;0.002167;0.006059;0;0.002492;0;0.00239;0.003897;0.011032;0;0;0.00228;0;0.005973;0.005693;0.012556;0.010657;0.003516;0.002854;0.004732;0;0.001566;0;0;0;0.007402;0.003703;0.001339;0.00314;0.004411;0.002267;0.002977;0.001937;0.003068;0.012417;0.001819;0.00169;0.001823;0.003177;0.001227;0.00208;0;0.003026;0.002082;0.003661;0;0.001819;0.003194;0.002358;0.003559;0.004816;0.00281;0.003702;0;0.00221;0.002537;0.002787;0.001818;0.005142;0.00241;0.00501;0.003106;0.002458;0.00178;0;0.00549;0.002292;0;0.002153;0.002913;0;0.002676;0.001438;0;0.001795;0.002496;0.001854;0.002736
14;0.004718;0.002876;0.018871;0;0.010405;0;0.003737;0.002893;0;0.003649;0.004656;0.004383;0;0;0;0;0.003498;0.006733;0.004941;0.00405;0.007094;0.005529;0.003934;0.004806;0.004097;0.004072;0.00409;0.006665;0.002005;0;0.00517;0;0.006651;0.027392;0.003463;0.003148;0.003914;0.005287;0.004428;0.004843;0.009465;0.007064;0.008896;0.003551;0.004067;0.005441;0.003836;0.003651;0.0036;0.005004;0.008253;0;0.006122;0.009209;0;0.005634;0.004852;0.006148;0.003794;0.010622;0.0029;0.004105;0.003802;0.00467;0.007182;0.002953;0.005094;0.003259;0.006713;0;0.005983;0.006128;0;0.005168;0.005868;0;0.007516;0.004663;0;0.015715;0.017667;0.008144;0.008303;0.002054;0.003509;0;0.01526;0.003296;0.002271;0.00818;0.008889;0.003252;0.004464;0.003065;0;0.015729;0.013853;0;0.004083;0.023208;0;0.006425;0.016588;0.017535;0.005793;0.003948;0.005943;0.00736;0.00275;0.003862;0.006513;0;0.01093;0.005221;0.001607;0.004978;0;0.00348;0.004024;0.002423;0.005318;0.016039;0.002674;0.003035;0;0.00406;0.001694;0.001929;0;0;0.003206;0;0.00427;0.002928;0.004133;0.004463;0.003823;0.005805;0.005001;0.006442;0.00279;0.004387;0.004126;0.004605;0;0.005408;0.003535;0;0;0.003308;0.003538;0.002593;0.006626;0.003774;0.001975;0.003152;0.003532;0.001808;0.00393;0;0.003035;0.0029;0.004033;0;0.003441
15;0.025087;0;0;0.029294;0;0;0.012357;0.012003;0.017082;0;0.015833;0.014856;0;0;0.021352;0;0.011243;0;0.021362;0;0.03055;0;0;0;0;0;0;0.031572;0;0.030035;0;0;0.029573;0.113765;0;0.012458;0.017426;0;0;0.016956;0.037266;0;0;0;0;0;0.014692;0.014007;0;0;0;0.012328;0;0.048934;0.025932;0;0;0.027699;0;0.046383;0;0.019018;0.014538;0.015537;0.027361;0.017815;0;0.012099;0.02867;0;0;0.029036;0;0;0;0.019731;0;0;0;0.075185;0.079278;0;0.037611;0.008451;0.013381;0.014106;0.064262;0;0;0;0.042175;0;0;0.013708;0.023003;0.062593;0;0;0;0;0;0;0;0;0;0;0.028585;0;0.009916;0;0.025053;0.018524;0.051878;0;0;0.020159;0.027645;0;0;0.013099;0.020561;0;0;0.010507;0.0136;0;0;0;0;0;0;0;0;0;0;0;0.019596;0;0.018397;0;0;0.016406;0;0;0;0;0;0;0;0;0.013666;0.009547;0;0.012548;0;0.01319;0;0;0;0.010013;0;0.009987;0;0.008628;0
16;0.005816;0.0024;0.017024;0.00633;0.008165;0;0.002046;0;0;0.002063;0.002311;0.002296;0;0.002472;0.003659;0.026449;0;0.005158;0.003142;0.003434;0;0.004586;0.002319;0.002963;0.003568;0.001931;0.001511;0.006612;0;0;0.003877;0.003007;0;0.022422;0.002633;0.00189;0.002817;0.004012;0.003197;0.002574;0.00561;0.005825;0.004766;0.002338;0.002645;0.003767;0.002231;0.002327;0.001558;0.003708;0.006368;0;0.003945;0;0;0.005352;0.004891;0.00517;0.003066;0.008386;0.002376;0;0.002028;0.002077;0.005276;0;0.003102;0.00187;0.005082;0.004939;0.004881;0.005585;0;0.003305;0.004388;0.003023;0;0.002632;0.009081;0.011632;0.012839;0.007294;0;0.001555;0;0.003044;0;0.003405;0;0.007173;0.008091;0;0.003767;0;0.003813;0;0.007955;0.005205;0.001969;0.016632;0.004524;0.004196;0.009181;0.011108;0;0.002127;0;0.004599;0.000995;0;0.004382;0;0;0;0;0.003412;0.004411;0.001625;0.002737;0.00188;0;0;0.00161;0;0;0;0;0;0;0.002959;0.001843;0.002905;0.004067;0.00177;0.002461;0;0.002965;0.004071;0.002134;0.003055;0.001887;0.001667;0.002072;0.001772;0.001188;0.004865;0;0.003653;0;0.001598;0.001995;0;0.003962;0.002015;0.001431;0.001681;0.002157;0;0.002152;0.001339;0.001303;0.002191;0.002028;0.001093;0
17;0.006694;0.003925;0;0.010006;0;0.007986;0;0.003653;0.004462;0;0;0.004358;0.004979;0;0.004928;0;0.003442;0;0;0.004162;0.00897;0.007355;0;0;0.00618;0.003913;0.004141;0.008536;0;0.008934;0.006549;0.004983;0.008258;0.036072;0.004832;0.003297;0;0;0;0.004056;0.009657;0;0;0.003513;0.004388;0;0.003734;0.004323;0.004491;0;0;0;0;0.014515;0.006462;0;0.007446;0;0;0.01225;0;0.006517;0.004038;0.004261;0.008368;0;0.006307;0.003686;0;0;0.008391;0.007852;0.003455;0;0;0;0;0;0;0;0;0;0.008976;0.00181;0;0.003723;0.018194;0;0;0.010357;0.011238;0.002965;0.006181;0.003832;0.006766;0.013407;0;0.009153;0;0.028158;0.00747;0;0;0;0.00607;0;0.008083;0;0.002003;0.00477;0;0.004886;0.01128;0;0.001624;0.005743;0.005614;0.00317;0.004377;0.003578;0.005741;0;0;0.003383;0.002926;0.004677;0;0.003273;0.004459;0.005569;0;0;0.006011;0.002483;0.004432;0.003614;0.004983;0.007562;0.004275;0.00612;0.003242;0.004423;0.004444;0;0.003169;0;0.003524;0.007235;0.004614;0.003395;0.00324;0;0.007202;0.003253;0;0;0.004467;0.002477;0.004224;0.002461;0;0.003214;0.004262;0.001481;0.003959
18;0;0;0;0;0.012569;0.005872;0.002788;0;0.004058;0.003664;0;0.004449;0.004465;0.003704;0;0.041534;0.002508;0;0;0;0.008002;0.005826;0.004372;0.004142;0.005196;0.00379;0.003497;0.008427;0.001647;0.008094;0.005387;0.003851;0.008;0;0;0;0.005017;0.005508;0.004999;0.004074;0;0.008316;0.008138;0.003079;0.003447;0.005533;0.003139;0;0.003585;0.005009;0.008957;0;0;0.01269;0.005917;0.005626;0.005953;0.007773;0;0.01247;0.003915;0.004638;0.003013;0.003658;0;0.003971;0;0;0;0.007041;0;0.007875;0;0;0.005057;0.004404;0.00671;0.003234;0.01397;0;0;0;0.00951;0.001857;0.002915;0;0.016789;0.00479;0;0;0.012856;0.003497;0.005012;0;0.005064;0.014426;0.012655;0.0081;0.003914;0.023584;0;0.008497;0.016959;0.016785;0.005127;0;0.00619;0.007486;0.001843;0;0.00619;0.004047;0.011565;0.005096;0.001553;0.005152;0;0.002594;0.003858;0.00321;0.004615;0.015985;0.001546;0.002158;0.002762;0.003979;0.001194;0.002396;0;0.004315;0;0.003496;0.005643;0.002606;0.003517;0.002791;0.004754;0.005492;0.003957;0.005003;0.00362;0.003241;0.00306;0.00374;0.002356;0.006003;0;0.005852;0.003728;0.002762;0.003605;0.001973;0.006025;0.003045;0.002135;0.003252;0;0.001964;0.003818;0.002444;0.002399;0.002613;0.003223;0.001926;0.002884
19;0;0;0.01101;0;0.007383;0.004739;0.001926;0;0.0033;0.003205;0;0;0.002431;0;0.004006;0.020273;0;0.005287;0;0;0;0.004894;0;0;0;0.002722;0.003229;0;0.001836;0;0;0.003393;0;0;0;0;0;0.004005;0;0.003063;0;0.005467;0.005298;0.003003;0;0.004591;0.003005;0;0.002774;0.0029;0;0.002402;0.00478;0;0;0.003004;0.005018;0;0.003352;0;0;0;0.003008;0.003613;0.005819;0;0;0;0;0.004295;0;0;0;0;0;0.003348;0;0.003454;0;0;0.013244;0;0.004679;0;0.002399;0.00266;0;0;0.002156;0;0;0.002134;0;0;0.004022;0.008109;0.010113;0.005987;0.003009;0;0.005196;0.005359;0;0;0;0.003188;0;0.004386;0.001712;0;0.004666;0.002619;0.006765;0.004163;0;0.003781;0;0;0.00297;0.002465;0;0.010811;0.002159;0.001871;0.002257;0.003229;0.001579;0;0.003392;0.002552;0.00261;0.00312;0.003219;0;0.002927;0.002757;0.002833;0.004279;0.003718;0.003865;0.002825;0.003208;0.002142;0.002234;0.002149;0.002985;0.002408;0.004628;0.003241;0.002876;0.002178;0.001792;0.003878;0.002515;0.00197;0.002108;0.002425;0;0.003333;0.00167;0;0.002037;0.003218;0.001884;0.003035
